Recency,Frequency,Monetary,Cluster
23,9,6620.48,0
10,7,4478.53,0
4,3,786.46,0
9,2,1270.88,0
57,1,640.5,0
58,4,2163.98,0
89,2,1689.18,0
67,8,6021.9,0
33,1,671.69,0
238,1,486.1,1
23,3,1174.58,0
115,1,185.9,0
25,3,1013.26,0
128,6,3344.64,0
129,1,477.91,0
33,4,1775.18,0
4,2,1346.97,0
22,12,3722.82,0
154,1,318.05,1
107,3,623.51,0
3,1,314.44,0
334,1,114.0,1
331,1,919.98,1
148,2,2209.85,1
10,5,601.98,0
17,5,4051.17,0
11,4,1643.18,0
18,1,686.05,0
29,1,91.68,0
11,1,245.1,0
0,11,3849.78,0
8,9,4881.88,0
324,1,63.0,1
58,1,620.13,0
11,4,3807.15,0
150,3,2744.03,1
10,5,2996.05,0
329,1,225.9,1
5,2,610.52,0
38,4,1970.6,0
24,6,1331.39,0
42,12,17628.46,2
58,4,1113.02,0
0,4,862.81,0
14,22,13787.54,2
3,31,12288.22,2
4,15,8476.57,2
7,7,2283.63,0
28,6,2863.08,0
371,1,89.14,1
113,1,4873.81,0
25,2,1247.61,0
205,1,389.01,1
28,6,1035.8,0
127,4,855.91,0
70,2,869.67,0
7,4,582.1,0
28,3,957.59,0
7,4,4939.99,0
79,2,797.71,0
19,1,219.0,0
71,1,283.55,0
7,8,2340.84,0
15,9,6868.29,0
291,1,603.42,1
29,10,2712.91,0
15,15,9736.52,2
96,3,1149.02,0
28,13,4396.13,0
0,1,848.55,0
9,5,4708.86,0
106,1,353.86,0
3,2,1053.49,0
151,2,1030.98,1
71,1,238.25,0
5,2,644.95,0
2,25,5781.73,2
31,6,2656.13,0
85,4,997.63,0
3,5,725.07,0
5,4,1031.41,0
371,1,427.8,1
28,7,2609.1,0
10,7,3980.7,0
71,4,836.33,0
113,1,453.01,0
23,12,18895.91,2
179,1,236.26,1
234,1,383.95,1
352,1,110.4,1
315,2,779.5699999999999,1
332,1,234.0,1
372,1,155.35,1
78,2,1013.04,0
63,1,427.6,0
134,2,546.43,0
51,7,21279.29,2
2,11,4196.01,0
0,209,33719.73,3
3,5,4090.88,0
128,1,275.88,0
81,1,4366.78,0
22,6,21429.39,0
235,3,3010.74,1
280,2,3811.95,1
86,1,112.07999999999998,0
15,13,7857.1,2
116,2,2791.59,0
52,3,1531.44,0
7,2,1898.52,0
138,2,494.08,0
316,1,1693.88,1
3,7,6989.63,0
238,1,1143.6,1
210,1,1351.45,1
59,1,892.47,0
17,5,1386.04,0
19,6,822.23,0
37,8,3981.36,0
63,2,826.74,0
4,5,2330.92,0
2,6,2225.91,0
9,2,574.42,0
364,1,311.95,1
9,3,463.66,0
65,1,91.85,0
192,1,324.92,1
373,1,192.6,1
256,1,400.54,1
334,2,545.48,1
53,2,860.41,0
18,1,430.48,0
365,1,254.03,1
10,3,6977.04,0
186,1,427.58,1
36,3,483.65,0
177,1,489.31,1
260,3,514.85,1
44,1,229.64,0
101,1,125.92,0
147,2,1063.46,1
95,2,572.2,0
281,1,166.04,1
261,1,1542.08,1
3,4,942.34,0
214,1,92.72,1
70,2,948.88,0
74,5,1759.5,0
59,1,397.12,0
2,7,1474.72,0
5,3,430.15,0
2,6,1018.71,0
336,2,293.0,1
37,6,6814.64,0
262,1,215.05,1
32,2,383.03,0
145,1,417.38,1
282,1,312.38,1
59,4,2612.86,0
173,1,134.1,1
33,2,683.13,0
2,14,5591.42,2
143,4,2726.77,0
4,25,4022.35,2
70,2,1118.99,0
65,8,1702.26,0
29,2,325.96000000000004,0
267,4,354.09,1
22,1,871.54,0
31,2,1050.89,0
96,1,135.18,0
294,1,311.55,1
134,6,1957.1,0
78,3,1324.5,0
372,1,38.1,1
7,6,2179.93,0
210,2,1106.4,1
52,1,521.2,0
138,1,147.12,0
26,2,1568.23,0
283,1,559.12,1
26,7,4036.82,0
185,6,1607.0600000000002,1
84,2,380.64,0
326,2,599.97,1
282,1,374.0,1
143,2,343.2300000000001,0
57,2,2218.02,0
3,12,1535.77,0
236,2,854.99,1
44,3,573.22,0
275,1,298.0,1
9,2,1463.04,0
24,4,703.47,0
88,1,309.05,0
63,3,1175.22,0
67,2,1378.4,0
214,2,354.12,1
24,1,380.47,0
185,3,331.0,1
30,1,188.14,0
42,2,372.8,0
204,2,216.5,1
8,28,17654.54,2
264,1,138.68,1
18,2,509.58,0
11,5,2919.81,0
176,2,750.0,1
39,5,2178.67,0
23,8,3075.04,0
2,5,1662.3,0
4,5,2483.63,0
148,2,363.65,1
138,4,3006.15,0
128,1,594.0,0
8,6,1335.19,0
17,1,164.23,0
9,37,16587.09,2
161,1,405.38,1
64,1,176.97,0
88,4,933.7,0
4,2,694.05,0
35,5,2062.7000000000003,0
311,1,117.85,1
78,2,415.8,0
21,15,42055.96,2
24,3,607.53,0
2,7,2160.7,0
17,4,1063.9,0
15,4,1504.27,0
25,1,114.14,0
64,8,11581.8,0
54,2,913.54,0
131,3,683.9,0
35,2,604.51,0
288,1,462.95,1
143,6,1603.99,0
16,7,2064.95,0
30,8,4167.22,0
2,3,1843.0,0
8,6,1064.07,0
5,4,1387.79,0
9,1,329.85,0
1,11,4757.16,0
306,1,108.07,1
9,8,4017.54,0
7,2,266.39,0
8,8,1856.63,0
89,1,771.91,0
9,1,160.18,0
358,2,1660.9,1
112,1,135.95,0
7,4,452.24,0
3,86,11189.91,2
197,1,144.8,1
211,1,738.6,1
156,1,39.24,1
157,9,7374.900000000001,0
29,2,372.22,0
242,1,390.54,1
18,1,97.5,0
0,2,1239.38,0
73,2,558.7,0
292,1,535.32,1
3,15,6924.110000000001,2
31,3,409.5,0
23,2,503.76,0
23,4,414.76,0
4,3,974.42,0
85,1,211.32,0
22,4,1226.89,0
196,3,455.88,1
106,3,534.85,0
4,13,9818.82,2
318,1,120.95,1
105,3,149.05,0
11,18,5655.91,2
173,2,513.7,1
56,1,81.57,0
323,1,229.47,1
372,1,50.55,1
9,8,1661.84,0
1,13,4810.9400000000005,0
10,10,3466.28,0
53,5,3346.28,0
73,3,789.89,0
7,1,204.0,0
16,28,7277.7,2
4,9,2616.38,0
64,2,689.9,0
1,5,975.36,0
113,6,6912.0,0
22,2,661.3199999999999,0
30,3,1247.5,0
11,2,799.48,0
52,2,1010.18,0
357,1,190.55,1
54,2,642.77,0
73,2,921.88,0
138,3,881.07,0
80,3,908.46,0
8,2,676.99,0
273,1,516.42,1
291,1,560.47,1
99,1,305.28000000000003,0
30,2,629.31,0
31,10,3237.54,0
14,4,1835.91,0
64,2,656.6800000000001,0
14,17,5836.86,2
212,1,348.15000000000003,1
78,3,1214.41,0
24,3,271.40000000000003,0
249,1,183.4,1
253,1,307.53,1
72,1,248.61,0
191,1,346.98,1
12,4,1119.49,0
373,1,205.86,1
24,2,470.8,0
82,1,115.46,0
10,2,344.0,0
0,24,4436.12,2
192,1,228.8,1
266,1,177.15,1
129,1,919.61,0
1,4,729.27,0
3,26,12627.94,2
4,5,220.1,0
179,1,58.08,1
11,11,28337.38,2
126,9,3613.63,0
4,2,303.75,0
157,2,416.08,1
2,97,58825.83,3
8,14,8910.82,2
28,1,345.82,0
70,5,477.83,0
275,8,7832.47,1
21,12,1927.32,0
70,1,74.39999999999999,0
32,10,6010.42,0
1,28,28882.44,2
99,1,207.36,0
234,1,101.19,1
1,24,6424.09,2
39,1,243.94,0
3,6,1098.48,0
133,1,76.5,0
44,4,1531.62,0
372,1,350.06,1
59,2,786.54,0
31,7,1488.67,0
0,24,12245.96,2
11,4,2294.78,0
138,1,501.14,0
21,8,984.91,0
19,5,1197.81,0
238,1,30.6,1
269,1,283.73,1
94,2,922.39,0
89,3,3866.33,0
4,8,2099.64,0
77,1,259.17,0
94,1,64.0,0
23,3,1073.3,0
261,1,77.3,1
273,2,109.8,1
85,4,1793.58,0
196,1,3096.0,1
56,5,2607.61,0
10,8,3650.41,0
22,6,962.39,0
16,7,5064.94,0
108,3,423.72,0
84,5,2388.75,0
19,1,307.09,0
332,1,110.95,1
39,4,618.52,0
26,1,228.91,0
10,4,712.8000000000001,0
29,12,3707.12,0
14,4,1676.06,0
295,1,1257.87,1
5,1,486.22,0
33,4,971.76,0
49,4,1741.22,0
94,4,1201.06,0
8,4,1437.85,0
22,1,91.8,0
313,1,112.75,1
122,4,1688.29,0
46,2,1021.48,0
283,1,417.2,1
18,4,791.33,0
36,4,1319.19,0
63,2,712.88,0
26,1,116.01,0
21,3,468.41,0
4,2,353.65,0
16,3,2817.03,0
46,1,492.84,0
64,1,282.45,0
26,11,5725.47,0
45,1,121.18,0
7,9,3957.78,0
14,10,1701.29,0
267,1,71.4,1
39,3,1575.89,0
337,1,236.02,1
11,1,114.6,0
18,2,260.68,0
95,2,911.94,0
61,1,117.88,0
135,1,60.7,0
11,4,1797.78,0
10,6,3401.24,0
3,38,9817.12,2
19,4,870.09,0
9,4,869.46,0
15,2,250.26,0
58,6,1223.9,0
30,8,5891.61,0
93,1,353.48,0
10,3,1197.42,0
19,3,788.08,0
56,5,1520.58,0
267,1,333.74,1
122,3,533.98,0
127,1,62.63999999999999,0
78,4,819.2900000000001,0
240,2,847.41,1
200,2,163.20000000000002,1
60,2,2155.95,0
3,7,6463.84,0
273,1,108.21,1
201,1,257.7,1
81,1,358.0,0
225,1,160.95,1
4,14,2806.97,0
12,7,1357.6,0
74,2,605.12,0
212,1,1031.07,1
24,2,744.85,0
17,4,700.73,0
261,1,329.56,1
96,4,663.65,0
112,3,270.40000000000003,0
203,1,600.07,1
92,1,121.74,0
50,1,430.5,0
18,6,1987.3,0
17,4,501.12,0
124,2,465.68,0
92,3,711.41,0
156,2,1030.4,1
9,2,399.51,0
11,3,698.58,0
61,1,292.32,0
61,1,557.62,0
268,2,944.1,1
263,1,200.29,1
1,35,7454.07,2
53,5,2107.66,0
11,12,3834.26,0
2,19,4521.49,2
17,11,3214.69,0
1,15,5346.2300000000005,2
366,1,590.0,1
37,1,217.38,0
31,2,276.56,0
113,1,138.98,0
63,2,590.9300000000001,0
15,4,258.4,0
40,1,542.73,0
78,1,137.75,0
122,3,814.86,0
18,3,1132.14,0
59,2,93.66,0
330,1,201.19,1
23,4,2709.12,0
155,1,361.11,1
38,2,578.9399999999999,0
189,2,873.74,1
359,1,201.2,1
137,1,87.4,0
7,4,2089.85,0
1,1,360.0,0
268,1,142.5,1
169,1,371.89,1
103,4,618.09,0
155,1,63.75,1
351,1,300.42,1
4,10,2000.86,0
120,1,15.0,0
22,3,1385.51,0
7,5,1456.79,0
28,3,1132.03,0
4,2,598.57,0
22,5,1555.32,0
1,3,775.94,0
37,4,5977.7300000000005,0
66,6,2273.68,0
1,3,640.76,0
5,26,10845.55,2
78,4,1548.7,0
72,2,567.36,0
17,1,199.48,0
3,5,787.85,0
36,10,7121.95,0
81,1,675.3,0
38,8,3627.77,0
316,1,1308.48,1
31,2,789.0,0
92,3,1140.93,0
14,1,350.9,0
82,3,3536.82,0
77,1,795.12,0
157,1,487.02,1
200,1,860.12,1
45,7,10736.48,0
260,1,775.85,1
177,1,353.43,1
67,3,2543.72,0
287,1,389.5,1
70,1,341.36,0
64,1,233.76,0
10,1,247.32,0
16,2,979.12,0
66,1,373.94,0
60,1,397.98,0
71,1,743.53,0
122,1,674.7,0
80,1,768.24,0
257,1,609.95,1
268,1,439.03,1
63,1,439.56,0
9,4,3090.74,0
17,2,992.5,0
71,1,134.95999999999998,0
33,2,2225.37,0
50,1,56.16,0
256,2,623.4,1
365,1,308.28000000000003,1
371,1,754.87,1
89,1,378.64,0
60,3,3312.25,0
88,1,778.65,0
99,3,1019.76,0
26,3,572.56,0
31,6,3639.31,0
280,1,222.99,1
30,7,4151.93,0
329,1,534.57,1
131,2,677.1,0
11,3,797.96,0
74,1,544.08,0
203,1,59.8,1
1,8,2520.02,0
185,1,307.72,1
29,2,1360.99,0
72,5,1544.13,0
192,1,457.34,1
127,2,621.23,0
17,1,75.0,0
1,2,252.49,0
74,3,572.451,0
1,62,28117.04,2
24,5,1003.06,0
107,1,213.55,0
133,3,1390.5,0
43,2,712.5,0
4,2,640.83,0
11,18,6127.43,2
63,1,221.06,0
149,2,159.85,1
40,2,1851.08,0
64,1,2626.3,0
108,3,1624.21,0
0,10,3641.32,0
19,3,582.6,0
10,1,218.47,0
10,4,1006.8,0
18,2,679.45,0
67,2,1269.1,0
74,2,534.24,0
5,7,3809.89,0
1,1,196.89,0
14,7,3408.06,0
255,1,283.71,1
91,1,296.64,0
23,3,1129.14,0
16,6,3539.37,0
23,1,291.88,0
26,6,2043.72,0
26,5,2976.15,0
259,2,590.0,1
165,2,356.98,1
24,2,1058.34,0
17,6,1766.72,0
7,14,9646.57,2
29,2,183.44,0
38,3,1445.0,0
252,1,151.5,1
58,1,674.68,0
184,1,307.9,1
10,2,1083.71,0
1,37,5704.97,2
99,2,165.0,0
1,4,2531.58,0
60,2,422.64,0
236,1,229.59,1
191,4,1431.78,1
178,2,1238.47,1
37,6,1454.58,0
200,2,300.95,1
45,5,1804.56,0
232,1,184.64,1
65,1,140.34,0
241,1,313.8,1
233,1,454.24,1
78,3,1122.41,0
57,3,575.4,0
17,13,8968.31,2
105,4,449.52,0
51,10,1215.82,0
136,3,1269.84,0
275,2,618.63,1
311,1,316.26000000000005,1
7,5,2044.87,0
10,2,653.33,0
282,2,348.05,1
17,5,1159.11,0
23,3,1166.77,0
288,1,1340.32,1
16,3,292.0,0
71,1,216.85,0
64,1,295.93,0
72,4,4393.63,0
316,2,458.52,1
3,4,2479.16,0
243,1,110.97,1
8,7,979.72,0
1,4,1791.56,0
260,1,251.21,1
126,1,205.1,0
73,1,152.20000000000002,0
72,4,891.12,0
21,3,1389.41,0
59,3,2128.42,0
85,1,659.4399999999999,0
78,1,122.75,0
58,6,3624.35,0
1,3,1093.65,0
30,1,125.8,0
33,5,3964.88,0
40,5,680.1800000000001,0
14,2,628.78,0
33,7,2287.51,0
78,2,307.76,0
205,2,483.8,1
33,1,210.31,0
182,3,270.79,1
2,25,5870.08,2
1,7,3448.29,0
43,7,1280.85,0
85,3,631.34,0
39,2,291.41,0
12,3,626.99,0
96,2,682.41,0
25,7,918.2,0
319,1,91.8,1
66,12,3740.07,0
73,4,4149.28,0
28,2,584.06,0
5,4,605.06,0
7,1,174.37,0
215,1,141.86,1
81,3,1799.33,0
84,2,777.53,0
144,3,1749.02,0
19,2,240.22,0
40,2,874.71,0
173,1,192.85,1
17,2,373.75,0
243,1,239.49,1
12,12,2092.32,0
205,1,1384.25,1
50,2,294.4,0
23,5,732.0699999999999,0
10,18,6717.34,2
25,4,1687.6,0
14,2,467.04,0
309,1,118.0,1
155,1,781.03,1
306,1,142.4,1
63,1,712.4,0
15,9,2478.95,0
14,2,379.65,0
11,6,1981.92,0
64,3,1117.13,0
35,4,247.96,0
108,5,2037.08,0
52,1,396.97,0
5,2,697.04,0
47,1,180.17,0
1,21,5153.67,2
312,1,219.52,1
45,2,693.32,0
64,1,428.89,0
26,1,164.34,0
29,3,280.54,0
40,1,678.01,0
12,7,1131.88,0
89,3,1171.8,0
24,4,1610.46,0
318,1,417.69,1
40,3,544.18,0
173,1,177.34,1
116,1,213.85,0
30,5,747.78,0
252,1,257.23,1
59,5,1638.47,0
23,11,7792.36,0
5,7,2031.78,0
99,11,3070.42,0
24,5,2121.27,0
33,5,1575.16,0
67,1,1071.03,0
36,5,949.12,0
52,3,810.5,0
15,1,122.64,0
74,1,1033.34,0
215,1,354.8,1
31,3,519.44,0
16,4,2624.26,0
120,1,252.1,0
9,4,1678.12,0
256,2,346.6,1
16,6,1836.34,0
35,2,94.2,0
45,3,1095.08,0
43,6,2707.33,0
114,2,932.97,0
164,2,379.65,1
10,2,382.14,0
9,5,2639.17,0
205,2,1573.2,1
85,3,897.76,0
179,1,189.47,1
60,3,84.65,0
149,1,305.02,1
2,21,6363.59,2
50,2,218.55,0
75,1,349.7,0
301,2,186.39,1
18,2,396.92,0
151,2,486.8200000000001,1
151,1,232.6,1
1,4,3722.42,0
17,4,827.83,0
187,1,59.5,1
285,1,67.23,1
2,7,3119.44,0
182,1,72.0,1
63,1,910.0,0
59,1,172.25,0
24,3,1488.32,0
3,50,65039.62,2
31,15,2504.13,2
38,1,151.29999999999998,0
155,1,308.58000000000004,1
26,10,2265.12,0
318,1,99.5,1
5,9,2308.06,0
7,3,711.86,0
302,1,330.79,1
267,2,806.41,1
271,1,296.88,1
3,13,6328.05,2
31,1,180.48,0
218,2,252.06,1
246,1,228.84,1
281,5,1079.34,1
269,1,138.28,1
32,6,1445.01,0
246,2,306.55,1
15,5,1041.68,0
116,4,799.9,0
36,1,524.14,0
131,3,2375.41,0
217,1,199.85,1
49,8,1980.56,0
38,2,1079.66,0
28,2,333.48,0
36,6,1016.14,0
135,2,752.6,0
219,2,610.59,1
28,1,491.86,0
24,4,2885.24,0
5,2,731.9,0
200,1,339.6,1
18,1,216.9,0
240,1,350.75,1
71,3,668.4300000000001,0
16,12,3131.02,0
2,7,1341.6,0
95,2,1156.36,0
162,1,300.04,1
373,1,79.6,1
95,5,948.25,0
53,5,1647.26,0
288,1,296.25,1
124,6,1186.28,0
287,1,741.26,1
151,2,282.6,1
3,9,2161.35,0
2,14,5189.52,2
11,7,3190.55,0
33,2,659.4100000000001,0
54,2,286.79,0
50,2,1070.65,0
218,1,306.72,1
63,1,1714.96,0
70,3,1521.76,0
2,37,17220.36,2
2,10,2796.51,0
64,4,2634.45,0
33,3,1132.13,0
81,1,345.0,0
0,33,25977.16,2
103,1,178.7,0
7,2,360.01,0
250,1,127.84,1
12,6,912.0,0
9,11,2462.79,0
367,1,230.4,1
75,2,309.04,0
4,1,348.8,0
127,2,1516.0,0
66,2,195.55,0
1,57,37153.85,2
116,2,688.86,0
309,1,558.32,1
66,1,324.8,0
138,3,4599.42,0
255,1,277.07,1
30,7,2635.79,0
52,2,924.6,0
63,1,256.38,0
367,1,112.6,1
5,5,1747.66,0
305,1,155.05,1
28,3,1499.01,0
183,3,814.5,1
42,3,539.0,0
39,4,1366.86,0
92,2,1579.12,0
22,4,4027.36,0
23,2,571.6700000000001,0
29,2,382.98,0
301,3,1140.35,1
144,2,385.64,0
5,2,632.0,0
18,2,957.66,0
32,5,1698.94,0
176,1,189.5,1
57,3,412.05,0
22,1,209.49,0
16,6,2202.99,0
19,1,52.2,0
159,1,384.8,1
25,4,834.57,0
211,2,271.24,1
5,4,691.73,0
252,1,85.0,1
58,9,3385.62,0
11,1,361.62,0
64,1,312.98,0
24,3,865.0600000000001,0
92,3,1255.0,0
51,2,1537.95,0
129,1,1595.48,0
95,3,2651.46,0
57,1,1090.14,0
8,25,8109.519999999999,2
168,3,388.5,1
57,1,216.17,0
326,1,201.16,1
1,5,1245.9,0
18,8,2209.36,0
247,1,305.78,1
58,4,501.56,0
74,1,145.67000000000002,0
31,3,1015.29,0
7,2,3192.54,0
123,4,3104.95,0
2,8,2770.94,0
22,13,6403.25,0
119,3,389.6,0
358,1,540.45,1
53,5,1786.79,0
63,1,122.7,0
86,1,117.24,0
54,1,1281.53,0
21,13,3219.77,0
3,20,17159.52,2
2,5,1191.13,0
10,5,2674.48,0
7,5,787.6,0
189,2,506.8,1
71,1,243.56,0
204,1,349.55,1
119,2,605.63,0
92,1,416.9,0
1,10,1883.81,0
26,4,632.97,0
297,1,821.1,1
23,3,564.62,0
28,4,2593.07,0
50,1,311.16,0
325,1,155.93,1
16,2,388.52,0
183,3,740.95,1
72,5,2867.2,0
37,2,332.64,0
79,4,2369.55,0
57,9,2580.91,0
11,2,626.45,0
49,2,272.04,0
49,2,1212.84,0
59,2,384.81,0
351,1,172.25,1
53,1,351.13,0
1,6,1838.85,0
92,4,678.25,0
23,1,223.85,0
74,1,348.99,0
10,4,464.57,0
169,2,842.65,1
57,2,337.34,0
95,2,1237.53,0
294,1,307.4,1
109,2,608.7900000000001,0
263,1,922.1,1
179,1,376.58,1
169,1,158.85,1
35,1,71.66,0
23,3,568.55,0
17,4,839.14,0
21,5,5112.96,0
79,3,561.5699999999999,0
65,1,90.6,0
360,1,102.0,1
2,6,2427.32,0
11,4,745.06,0
176,3,674.45,1
217,2,3251.071,1
7,7,3515.68,0
1,2,439.92,0
154,2,322.96,1
5,5,1026.42,0
79,3,598.2,0
21,2,230.22,0
21,2,169.55,0
308,4,664.54,1
145,1,80.7,1
7,18,9053.94,2
18,8,2758.26,0
70,2,190.25,0
287,1,264.7,1
49,1,413.59,0
31,6,2526.28,0
206,1,357.98,1
14,2,196.79,0
73,1,869.87,0
60,1,200.14,0
39,4,1871.81,0
29,12,2603.43,0
26,5,920.51,0
4,15,7060.13,2
17,1,320.46,0
19,6,4147.96,0
65,2,1266.08,0
213,1,311.3,1
12,6,855.97,0
30,1,76.8,0
42,9,3466.36,0
3,6,2313.14,0
15,5,1393.69,0
10,12,3901.81,0
211,1,635.66,1
45,3,2043.08,0
134,2,529.73,0
43,7,4582.64,0
9,5,2874.72,0
115,3,962.19,0
198,2,695.61,1
277,1,328.8,1
110,3,473.02,0
77,1,505.18,0
52,1,917.34,0
161,4,4341.21,1
46,3,1421.61,0
16,2,642.8,0
155,3,631.9,1
225,1,440.0,1
7,2,584.07,0
121,2,327.7,0
60,1,104.82,0
63,2,467.66,0
18,8,2360.09,0
7,19,17286.86,2
2,11,2975.59,0
22,3,651.8199999999999,0
28,5,1428.02,0
284,1,626.65,1
176,2,147.20000000000002,1
78,3,1560.38,0
33,1,152.2,0
40,12,3614.92,0
266,1,141.41,1
26,4,652.82,0
109,4,1659.75,0
284,1,154.99,1
8,5,1308.61,0
305,1,409.93,1
16,4,5681.72,0
31,2,746.36,0
0,23,15610.39,2
19,1,225.36,0
124,2,260.25,0
65,1,92.46,0
106,1,725.6400000000001,0
1,23,8214.65,2
23,17,6217.96,2
266,1,183.6,1
4,19,6140.42,2
9,12,10464.85,2
29,5,1353.74,0
266,1,152.55,1
63,2,374.7,0
320,1,265.85,1
3,8,1438.82,0
32,1,151.04,0
4,3,942.26,0
129,1,122.47,0
40,5,499.42,0
101,6,1049.37,0
124,1,375.1,0
32,1,45.6,0
302,2,934.52,1
364,1,182.25,1
4,9,1018.43,0
2,18,4448.54,2
2,1,194.42,0
10,13,50491.81,2
56,1,161.0,0
324,1,76.32000000000001,1
7,14,4076.91,2
12,1,442.85,0
4,17,65164.79,2
36,1,147.35,0
16,11,3104.17,0
137,1,194.9,0
73,6,5976.79,0
5,5,1360.28,0
154,2,216.21,1
239,1,1266.23,1
51,7,2703.23,0
30,2,597.91,0
72,1,144.2,0
3,12,5683.15,0
14,4,692.85,0
22,7,2915.15,0
3,4,1840.42,0
273,2,386.53,1
19,5,1382.74,0
143,1,90.0,1
3,4,2780.15,0
84,1,419.58,0
10,3,2740.43,0
7,3,706.1300000000001,0
122,3,709.71,0
60,2,637.5,0
1,5,1123.86,0
319,1,483.86,1
